year,sex,name,n,prop
1980,F,Sarah,25755,0.01446617
1980,F,Nicole,19917,0.01118706
1980,F,Christina,16139,0.00906502
1980,F,Kelly,13717,0.00770462
1980,F,Julie,8909,0.00500404
1980,F,Katherine,8019,0.00450414
1980,F,Kristin,7702,0.00432609
1980,F,Alicia,5752,0.00323081
1980,F,Robin,2807,0.00157665
1980,F,Caroline,1313,7.3749e-4
1980,F,Audrey,1223,6.8694e-4
1980,F,Serena,630,3.5386e-4
1980,F,Michael,546,3.0668e-4
1980,F,Maya,397,2.2299e-4
1980,F,Jason,306,1.7188e-4
1980,F,Matthew,194,1.0897e-4
1980,F,Nicholas,139,7.807e-5
1980,F,Steven,110,6.179e-5
1980,F,Hailey,81,4.55e-5
1980,F,Amira,47,2.64e-5
1980,F,Isabella,38,2.134e-5
1980,F,Tony,38,2.134e-5
1980,F,Delina,22,1.236e-5
1980,F,Ian,19,1.067e-5
1980,F,Omar,13,7.3e-6
1980,F,Grant,9,5.06e-6
1980,F,Saul,5,2.81e-6
1980,M,Michael,68693,0.03703079
1980,M,Jason,48173,0.02596894
1980,M,Matthew,37860,0.02040944
1980,M,Nicholas,21025,0.01133409
1980,M,Steven,15914,0.00857886
1980,M,Ian,2909,0.00156817
1980,M,Tony,2727,0.00147006
1980,M,Omar,1447,7.8004e-4
1980,M,Kelly,1184,6.3827e-4
1980,M,Grant,1108,5.973e-4
1980,M,Ethan,706,3.8059e-4
1980,M,Robin,443,2.3881e-4
1980,M,Saul,363,1.9568e-4
1980,M,Nicole,86,4.636e-5
1980,M,Sarah,84,4.528e-5
1980,M,Christina,70,3.774e-5
1980,M,Kristin,68,3.666e-5
1980,M,Corbin,64,3.45e-5
1980,M,Julie,42,2.264e-5
1980,M,Katherine,29,1.563e-5
1980,M,Ace,28,1.509e-5
1980,M,Alicia,20,1.078e-5
1980,M,Audrey,13,7.01e-6
1980,M,Niels,12,6.47e-6
1980,M,Caroline,5,2.7e-6
1981,F,Sarah,28173,0.01575465
1981,F,Nicole,20313,0.01135925
1981,F,Christina,14395,0.00804984
1981,F,Kelly,11876,0.00664119
1981,F,Kristin,9737,0.00544504
1981,F,Julie,8565,0.00478964
1981,F,Katherine,8434,0.00471638
1981,F,Alicia,5856,0.00327474
1981,F,Robin,2867,0.00160326
1981,F,Caroline,1392,7.7842e-4
1981,F,Audrey,1285,7.1859e-4
1981,F,Serena,535,2.9918e-4
1981,F,Michael,487,2.7234e-4
1981,F,Maya,323,1.8063e-4
1981,F,Jason,239,1.3365e-4
1981,F,Matthew,201,1.124e-4
1981,F,Hailey,145,8.109e-5
1981,F,Nicholas,124,6.934e-5
1981,F,Steven,96,5.368e-5
1981,F,Amira,48,2.684e-5
1981,F,Isabella,39,2.181e-5
1981,F,Tony,34,1.901e-5
1981,F,Delina,16,8.95e-6
1981,F,Omar,16,8.95e-6
1981,F,Ian,12,6.71e-6
1981,F,Grant,6,3.36e-6
1981,F,Zeynep,5,2.8e-6
1981,M,Michael,68765,0.03692247
1981,M,Matthew,43330,0.02326548
1981,M,Jason,41932,0.02251484
1981,M,Nicholas,19778,0.01061954
1981,M,Steven,16487,0.00885248
1981,M,Ian,2932,0.0015743
1981,M,Tony,2649,0.00142235
1981,M,Omar,1434,7.6997e-4
1981,M,Kelly,1182,6.3466e-4
1981,M,Grant,1099,5.9009e-4
1981,M,Ethan,735,3.9465e-4
1981,M,Robin,456,2.4484e-4
1981,M,Saul,411,2.2068e-4
1981,M,Sarah,109,5.853e-5
1981,M,Nicole,85,4.564e-5
1981,M,Christina,67,3.597e-5
1981,M,Kristin,64,3.436e-5
1981,M,Corbin,56,3.007e-5
1981,M,Julie,34,1.826e-5
1981,M,Katherine,31,1.665e-5
1981,M,Ace,28,1.503e-5
1981,M,Alicia,21,1.128e-5
1981,M,Niels,17,9.13e-6
1981,M,Audrey,12,6.44e-6
1981,M,Caroline,9,4.83e-6
1982,F,Sarah,28484,0.01570245
1982,F,Nicole,21706,0.01196592
1982,F,Christina,14513,0.00800062
1982,F,Kelly,12169,0.00670843
1982,F,Katherine,9181,0.00506123
1982,F,Kristin,8732,0.00481371
1982,F,Julie,7694,0.00424149
1982,F,Alicia,5616,0.00309595
1982,F,Robin,2768,0.00152592
1982,F,Audrey,1542,8.5006e-4
1982,F,Caroline,1536,8.4675e-4
1982,F,Serena,595,3.2801e-4
1982,F,Michael,576,3.1753e-4
1982,F,Maya,346,1.9074e-4
1982,F,Jason,274,1.5105e-4
1982,F,Matthew,273,1.505e-4
1982,F,Hailey,170,9.372e-5
1982,F,Nicholas,136,7.497e-5
1982,F,Steven,117,6.45e-5
1982,F,Amira,44,2.426e-5
1982,F,Tony,34,1.874e-5
1982,F,Isabella,33,1.819e-5
1982,F,Ian,29,1.599e-5
1982,F,Delina,15,8.27e-6
1982,F,Omar,12,6.62e-6
1982,F,Grant,7,3.86e-6
1982,F,Saul,7,3.86e-6
1982,F,Zeynep,6,3.31e-6
1982,M,Michael,68228,0.03615445
1982,M,Matthew,46060,0.02440749
1982,M,Jason,40624,0.02152691
1982,M,Nicholas,19647,0.01041107
1982,M,Steven,17145,0.00908524
1982,M,Ian,3581,0.00189759
1982,M,Tony,2607,0.00138147
1982,M,Omar,1385,7.3392e-4
1982,M,Kelly,1271,6.7351e-4
1982,M,Grant,1172,6.2105e-4
1982,M,Ethan,714,3.7835e-4
1982,M,Robin,406,2.1514e-4
1982,M,Saul,362,1.9183e-4
1982,M,Sarah,125,6.624e-5
1982,M,Nicole,84,4.451e-5
1982,M,Christina,67,3.55e-5
1982,M,Kristin,61,3.232e-5
1982,M,Corbin,60,3.179e-5
1982,M,Katherine,45,2.385e-5
1982,M,Ace,23,1.219e-5
1982,M,Alicia,22,1.166e-5
1982,M,Julie,21,1.113e-5
1982,M,Audrey,15,7.95e-6
1982,M,Niels,13,6.89e-6
1982,M,Caroline,7,3.71e-6
1983,F,Sarah,27231,0.01521834
1983,F,Nicole,22397,0.01251681
1983,F,Christina,15361,0.00858466
1983,F,Kelly,11584,0.00647384
1983,F,Katherine,9682,0.00541089
1983,F,Alicia,7490,0.00418587
1983,F,Kristin,7267,0.00406124
1983,F,Julie,6654,0.00371866
1983,F,Robin,2387,0.001334
1983,F,Caroline,1479,8.2656e-4
1983,F,Audrey,1468,8.2041e-4
1983,F,Serena,596,3.3308e-4
1983,F,Michael,577,3.2246e-4
1983,F,Matthew,317,1.7716e-4
1983,F,Maya,289,1.6151e-4
1983,F,Jason,245,1.3692e-4
1983,F,Hailey,182,1.0171e-4
1983,F,Nicholas,135,7.545e-5
1983,F,Steven,132,7.377e-5
1983,F,Amira,50,2.794e-5
1983,F,Tony,47,2.627e-5
1983,F,Isabella,31,1.732e-5
1983,F,Ian,24,1.341e-5
1983,F,Delina,22,1.229e-5
1983,F,Omar,12,6.71e-6
1983,F,Grant,9,5.03e-6
1983,F,Ethan,8,4.47e-6
1983,F,Corbin,7,3.91e-6
1983,M,Michael,67995,0.0364911
1983,M,Matthew,50214,0.02694851
1983,M,Jason,35114,0.01884475
1983,M,Nicholas,19892,0.01067551
1983,M,Steven,18312,0.00982756
1983,M,Ian,3670,0.00196959
1983,M,Tony,2351,0.00126172
1983,M,Grant,1552,8.3292e-4
1983,M,Omar,1271,6.8211e-4
1983,M,Kelly,1054,5.6565e-4
1983,M,Ethan,733,3.9338e-4
1983,M,Robin,412,2.2111e-4
1983,M,Saul,379,2.034e-4
1983,M,Sarah,118,6.333e-5
1983,M,Nicole,86,4.615e-5
1983,M,Christina,68,3.649e-5
1983,M,Corbin,57,3.059e-5
1983,M,Kristin,38,2.039e-5
1983,M,Ace,35,1.878e-5
1983,M,Katherine,33,1.771e-5
1983,M,Alicia,29,1.556e-5
1983,M,Julie,24,1.288e-5
1983,M,Audrey,13,6.98e-6
1983,M,Niels,11,5.9e-6
1984,F,Sarah,25882,0.01435584
1984,F,Nicole,22264,0.01234906
1984,F,Christina,14702,0.00815468
1984,F,Kelly,11217,0.00622168
1984,F,Katherine,10157,0.00563373
1984,F,Alicia,7819,0.00433693
1984,F,Kristin,7008,0.00388709
1984,F,Julie,5939,0.00329416
1984,F,Robin,2112,0.00117145
1984,F,Caroline,1633,9.0577e-4
1984,F,Audrey,1487,8.2479e-4
1984,F,Serena,577,3.2004e-4
1984,F,Michael,508,2.8177e-4
1984,F,Matthew,293,1.6252e-4
1984,F,Maya,241,1.3367e-4
1984,F,Hailey,227,1.2591e-4
1984,F,Jason,205,1.1371e-4
1984,F,Nicholas,146,8.098e-5
1984,F,Steven,127,7.044e-5
1984,F,Amira,53,2.94e-5
1984,F,Tony,36,1.997e-5
1984,F,Isabella,35,1.941e-5
1984,F,Ian,30,1.664e-5
1984,F,Delina,16,8.87e-6
1984,F,Grant,9,4.99e-6
1984,F,Omar,9,4.99e-6
1984,F,Corbin,6,3.33e-6
1984,F,Saul,6,3.33e-6
1984,F,Zeynep,6,3.33e-6
1984,F,Ethan,5,2.77e-6
1984,M,Michael,67736,0.03610228
1984,M,Matthew,49775,0.02652933
1984,M,Jason,29949,0.01596237
1984,M,Nicholas,21013,0.01119962
1984,M,Steven,18213,0.00970726
1984,M,Ian,3792,0.00202108
1984,M,Tony,2441,0.00130102
1984,M,Grant,1585,8.4478e-4
1984,M,Omar,1272,6.7796e-4
1984,M,Kelly,984,5.2446e-4
1984,M,Ethan,731,3.8961e-4
1984,M,Robin,434,2.3132e-4
1984,M,Saul,387,2.0627e-4
1984,M,Sarah,122,6.502e-5
1984,M,Christina,87,4.637e-5
1984,M,Nicole,75,3.997e-5
1984,M,Corbin,68,3.624e-5
1984,M,Kristin,50,2.665e-5
1984,M,Katherine,48,2.558e-5
1984,M,Alicia,33,1.759e-5
1984,M,Ace,29,1.546e-5
1984,M,Julie,29,1.546e-5
1984,M,Niels,16,8.53e-6
1984,M,Audrey,11,5.86e-6
1984,M,Caroline,10,5.33e-6
1985,F,Sarah,24880,0.0134785
1985,F,Nicole,22968,0.01244269
1985,F,Christina,16598,0.00899181
1985,F,Kelly,11031,0.00597594
1985,F,Katherine,10127,0.0054862
1985,F,Alicia,7122,0.00385827
1985,F,Kristin,6566,0.00355707
1985,F,Julie,5762,0.00312151
1985,F,Robin,2012,0.00108998
1985,F,Caroline,1751,9.4859e-4
1985,F,Audrey,1447,7.839e-4
1985,F,Serena,565,3.0608e-4
1985,F,Michael,531,2.8766e-4
1985,F,Hailey,370,2.0044e-4
1985,F,Matthew,294,1.5927e-4
1985,F,Maya,249,1.3489e-4
1985,F,Jason,184,9.968e-5
1985,F,Nicholas,162,8.776e-5
1985,F,Steven,145,7.855e-5
1985,F,Amira,61,3.305e-5
1985,F,Isabella,34,1.842e-5
1985,F,Ian,31,1.679e-5
1985,F,Tony,31,1.679e-5
1985,F,Delina,20,1.083e-5
1985,F,Grant,10,5.42e-6
1985,F,Omar,8,4.33e-6
1985,F,Saul,7,3.79e-6
1985,M,Michael,64906,0.03373805
1985,M,Matthew,47073,0.02446848
1985,M,Jason,26035,0.01353296
1985,M,Nicholas,22391,0.01163881
1985,M,Steven,18721,0.00973115
1985,M,Ian,3998,0.00207815
1985,M,Tony,2522,0.00131093
1985,M,Grant,1653,8.5923e-4
1985,M,Omar,1214,6.3104e-4
1985,M,Kelly,893,4.6418e-4
1985,M,Ethan,671,3.4878e-4
1985,M,Saul,409,2.126e-4
1985,M,Robin,372,1.9337e-4
1985,M,Sarah,101,5.25e-5
1985,M,Christina,86,4.47e-5
1985,M,Nicole,77,4.002e-5
1985,M,Corbin,54,2.807e-5
1985,M,Kristin,50,2.599e-5
1985,M,Katherine,39,2.027e-5
1985,M,Ace,32,1.663e-5
1985,M,Julie,28,1.455e-5
1985,M,Alicia,21,1.092e-5
1985,M,Niels,18,9.36e-6
1985,M,Audrey,13,6.76e-6
1985,M,Caroline,5,2.6e-6
1985,M,Serena,5,2.6e-6
1986,F,Sarah,28154,0.01525924
1986,F,Nicole,21286,0.01153684
1986,F,Christina,14378,0.00779276
1986,F,Katherine,10571,0.0057294
1986,F,Kelly,10414,0.0056443
1986,F,Alicia,7016,0.00380262
1986,F,Kristin,6000,0.00325195
1986,F,Julie,5017,0.00271917
1986,F,Robin,2265,0.00122761
1986,F,Caroline,1802,9.7667e-4
1986,F,Audrey,1487,8.0594e-4
1986,F,Michael,590,3.1978e-4
1986,F,Hailey,453,2.4552e-4
1986,F,Serena,453,2.4552e-4
1986,F,Matthew,282,1.5284e-4
1986,F,Maya,233,1.2628e-4
1986,F,Jason,163,8.834e-5
1986,F,Nicholas,135,7.317e-5
1986,F,Steven,125,6.775e-5
1986,F,Amira,61,3.306e-5
1986,F,Isabella,60,3.252e-5
1986,F,Ian,35,1.897e-5
1986,F,Tony,31,1.68e-5
1986,F,Omar,16,8.67e-6
1986,F,Grant,14,7.59e-6
1986,F,Delina,11,5.96e-6
1986,F,Ethan,9,4.88e-6
1986,M,Michael,64205,0.03342343
1986,M,Matthew,46923,0.02442687
1986,M,Nicholas,22798,0.01186804
1986,M,Jason,22395,0.01165825
1986,M,Steven,18098,0.00942134
1986,M,Ian,3713,0.00193289
1986,M,Tony,2359,0.00122803
1986,M,Grant,1484,7.7253e-4
1986,M,Omar,1312,6.8299e-4
1986,M,Kelly,872,4.5394e-4
1986,M,Ethan,596,3.1026e-4
1986,M,Saul,411,2.1396e-4
1986,M,Robin,354,1.8428e-4
1986,M,Sarah,116,6.039e-5
1986,M,Christina,91,4.737e-5
1986,M,Nicole,85,4.425e-5
1986,M,Corbin,79,4.113e-5
1986,M,Katherine,44,2.291e-5
1986,M,Kristin,37,1.926e-5
1986,M,Ace,35,1.822e-5
1986,M,Alicia,33,1.718e-5
1986,M,Julie,19,9.89e-6
1986,M,Niels,12,6.25e-6
1986,M,Audrey,11,5.73e-6
1986,M,Caroline,5,2.6e-6
1987,F,Sarah,27890,0.01488395
1987,F,Nicole,20285,0.01082542
1987,F,Christina,13814,0.00737206
1987,F,Katherine,10433,0.00556774
1987,F,Kelly,9864,0.00526408
1987,F,Alicia,6777,0.00361665
1987,F,Kristin,5461,0.00291435
1987,F,Julie,4742,0.00253064
1987,F,Caroline,2045,0.00109135
1987,F,Robin,1912,0.00102037
1987,F,Audrey,1487,7.9356e-4
1987,F,Michael,544,2.9031e-4
1987,F,Hailey,538,2.8711e-4
1987,F,Serena,448,2.3908e-4
1987,F,Maya,288,1.537e-4
1987,F,Matthew,287,1.5316e-4
