crash_numb,city_town_name,crash_date,crash_severity_descr,crash_status,crash_time_2,year,max_injr_svrty_cl,numb_vehc,polc_agncy_type_descr,sptroop,age_drvr_oldest,crash_hour,first_hrmf_event_descr,ambnt_light_descr,manr_coll_descr,road_surf_cond_descr,numb_fatal_injr,weath_cond_descr,hit_run_descr,most_hrmfl_evt_cl,speed_limit,lat,lon
4175194,CAMBRIDGE,01/11/2016,Not Reported,Closed,18:42:00,2016,Not Applicable,1,Local police,NA,21-24,06:00PM to 06:59PM,Not reported,Dusk,Angle,Dry,0,Cloudy,NA,V1:(Collision with pedestrian),NA,42.37011092,-71.11293535
4181538,CAMBRIDGE,02/17/2016,Non-fatal injury,Closed,11:30:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,NA,11:00AM to 11:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37057218,-71.11356387
4181543,CAMBRIDGE,02/17/2016,Non-fatal injury,Closed,10:00:00,2016,Non-fatal injury - Possible,1,Local police,NA,25-34,10:00AM to 10:59AM,Collision with pedestrian,Daylight,Angle,Dry,0,Clear,NA,V1:(Collision with pedestrian),NA,42.39463107,-71.14244504
4181575,CAMBRIDGE,02/18/2016,Non-fatal injury,Closed,09:00:00,2016,Non-fatal injury - Possible,1,Local police,NA,45-54,09:00AM to 09:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36016348,-71.09484827
4181601,CAMBRIDGE,02/18/2016,Fatal injury,Closed,10:53:00,2016,Fatal injury (K),1,Local police,NA,18-20,10:00AM to 10:59AM,Collision with pedestrian,Daylight,Single vehicle crash,Dry,1,Clear,NA,V1:(Collision with pedestrian),NA,42.38858698,-71.11900383
4181834,CAMBRIDGE,02/19/2016,Non-fatal injury,Closed,08:35:00,2016,Non-fatal injury - Incapacitating,1,Local police,NA,55-64,08:00AM to 08:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.3752588,-71.14593003
4175187,CAMBRIDGE,01/14/2016,Non-fatal injury,Closed,13:28:00,2016,Non-fatal injury - Possible,1,Local police,NA,75-84,01:00PM to 01:59PM,Collision with pedestrian,Daylight,Single vehicle crash,Dry,0,Clear,NA,V1:(Collision with pedestrian),NA,42.37275294,-71.09327421
4173485,CAMBRIDGE,04/06/2016,Non-fatal injury,Closed,19:51:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,45-54,07:00PM to 07:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,"Sideswipe, opposite direction",Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.39406689,-71.14051708
4171705,CAMBRIDGE,04/03/2016,Non-fatal injury,Closed,23:38:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,75-84,11:00PM to 11:59PM,Collision with pedestrian,Dark - lighted roadway,Single vehicle crash,Dry,0,Clear,NA,V1:(Collision with pedestrian),30,42.37435283,-71.11879817
4171172,CAMBRIDGE,03/31/2016,Property damage only (none injured),Closed,11:10:00,2016,No injury,1,Local police,NA,45-54,11:00AM to 11:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear/Cloudy,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36150333,-71.08431485
