city,region,city_type,metro_area,metro_area_population,city_population,population_2013,population_2018,population_trend,percent_hispanic_or_latino_of_any_race,white_alone_percent,percent_black_or_african_american,percent_american_indian_and_alaska_native_alone,percent_asian_alone,percent_native_hawaiian_and_other_pacific_islander_alone,percent_some_other_race_alone,percent_two_or_more_races,share_below_100_percent_of_the_fpl,share_between_100_percent_and_149_percent_of_the_fpl,percent_at_or_above_150_percent_of_the_fpl,total_unemployment_percent,percent_homeowner,percent_renter,renter_housing_cost_burden_35_percent_or_more,owner_housing_cost_burden_30_34_9_percent,owner_housing_cost_burden_35_percent_or_more,asthma,housing_with_potential_lead_risk,cardiovascular_disease_deaths,physical_inactivity,park_access,walkability_score,uninsured,limited_access_to_healthy_foods,obesity,air_pollution,life_expectancy,opioid_overdose_deaths,low_birthweight,premature_mortality_rate,drinking_water_violations,average_travel_time_to_work_all
"Akron, OH",Midwest,Center City,"Akron, OH Metro Area",704454,198314,199038,198314,losing population,2.45,58.47,29.92,0.22,4.58,0.01,0.21,4.13,23.33,13.91,62.77,8.34,50.6,49.4,43,7.5,20.2,10.9,37.6,243.8,37,72.8,46.2,8.9,69,37.4,9.6,75,58.9,11.0,13200.0,59.0,23.3
"Ann Arbor, MI",Midwest,Center City,"Ann Arbor, MI Metro Area",365961,120641,115331,120641,plateau,4.69,67.41,6.44,0.17,17.24,0.03,0.28,3.72,22.63,5.8,71.57,4.28,44.8,55.2,45.5,6.3,15.5,9.8,22.1,133.3,18.3,91.2,49.9,2.7,68.3,26.1,8.9,81.9,11.2,6.2,3900.0,42.0,23.3
"Bloomington, MN",Midwest,Suburban City,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3557528,85394,84451,85394,plateau,8.6,72.84,8.76,0.31,5.74,0.01,0.18,3.55,6.8,4.88,88.32,3.55,67.1,32.9,32.3,5.6,18.2,7.5,17.9,130.2,21.5,84.9,27.7,5.4,78.8,24,7.1,81.6,7.2,NA,5200.0,2.0,25
"Canton, OH",Midwest,Center City,"Canton-Massillon, OH Metro Area",401053,17362,17433,17362,losing population,2.17,89.3,3.18,0,2.19,0,0.46,2.71,6.9,6.8,86.3,3.16,47.7,52.3,38.7,7.8,19.4,11.2,42,255.7,38.3,75.2,47.8,7.9,68.7,42.2,9.6,75.8,44.7,NA,14000.0,7.0,22.2
"Dayton, OH",Midwest,Center City,"Dayton, OH Metro Area",802645,140782,143446,140782,losing population,3.95,52.68,38.61,0.34,0.93,0.02,0.14,3.33,32.08,13.56,54.36,11.78,47,53,47.4,6.2,22.6,11.8,41.7,338,39.3,75.6,48.4,10.1,77.2,41.7,9.4,72,116.2,11.2,18100.0,14.0,21.2
"Dearborn, MI",Midwest,Suburban City,"Detroit-Warren-Dearborn, MI Metro Area",4317179,95089,97140,95089,losing population,3.15,88.01,3.27,0.21,2.43,0.02,0.1,2.81,28.31,12.24,59.45,7.81,66,34,51.7,5.6,25.5,11.8,39,225.5,29.7,63.4,58.7,7.3,33.1,31.6,9.8,79.7,16.5,NA,6100.0,1.0,NA
"Gary, IN",Midwest,Center City,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9536428,76677,79922,76677,losing population,7.32,11.41,79.28,0.11,0.23,0,0.2,1.45,33.52,15.64,50.83,13.8,51.3,48.7,49.5,4.8,32.1,12.6,35.3,272.4,41.6,65.5,34.4,11.3,80.7,49.3,9.2,72,18.7,NA,15500.0,11.0,NA
"Grand Forks, ND",Midwest,Center City,"Grand Forks, ND-MN Metro Area",101991,56556,53315,56556,growing,3.9,83.4,4.35,2.59,3.12,0.1,0.54,2,19.86,9.54,70.6,3.84,43.4,56.6,42.4,6,12.7,NA,17.3,NA,NA,77.6,47.9,7,63.5,NA,5.9,79.6,NA,NA,NA,9.0,NA
"Grand Rapids, MI",Midwest,Center City,"Grand Rapids-Wyoming, MI Metro Area",1050440,197081,189735,197081,plateau,15.92,59.4,18.42,0.22,2.29,0.02,0.12,3.59,21.24,13.08,65.68,6.67,54.1,45.9,44.1,5,17.2,10.7,37.8,261.9,26.5,75.6,56.7,9.2,60,33.2,9,78.7,17,8.8,8400.0,1.0,21.3
"Green Bay, WI",Midwest,Center City,"Green Bay, WI Metro Area",317702,104818,104393,104818,plateau,15.21,69.65,3.91,3.18,4.19,0.02,0.12,3.72,16.03,11.28,72.69,3.95,55.6,44.4,34.1,6.5,16.4,10.3,23.3,241.9,24.1,74.2,40.6,8.4,72.7,34.6,7.6,79.3,11.7,7.8,8300.0,6.0,NA
