title,movie_id
Conspiracy Theories,137075
Fringe,960552
Pilot,960612
It's All Relative,1276875
Overnight Trip,1732388
(#1.19),1986774
The End of the Berkeley Blockade,2538382
The First Olympics: Athens 1896,2617210
Pussycat Doll vs. Pussy-Hat Dolls,2693678
"Profile in Silver/Button, Button",2804824
(2017-10-18),2930841
'Northwest Passage' (Book I -- Rogers' Rangers),3201540
21,3210687
A Great Education,3228261
A Small Act,3239480
Accepted,3249919
Admissions,3253656
American Psycho,3277483
Angels & Demons,3287745
Bamboozled,3325017
Bobby Jones: Stroke of Genius,3367165
Boston Terrier,3373073
Brad's Status,3375674
Change at 125th Street,3412671
Dead Poets Society,3482447
El secreto de sus ojos,3558410
First Affair,3605002
Flight,3609213
Giant,3645090
Good Will Hunting,3656784
"H.M. Pulham, Esq.",3669973
"Happy Birthday, Gemini",3676894
Harvard Beats Yale 29-29,3680181
Haven,3682031
Heaven's Gate,3686364
How High,3714229
Huddle,3717295
Jimmy Carter Man from Plains,3777910
Joe Gould's Secret,3779696
L'héritier,3828300
Lady Barnacle,3850519
"Legally Blonde 2: Red, White & Blonde",3870187
"Live at Harvard: Dave Rubin, Bret Weinstein, Steve Simpson on Free Speech in America",3891320
Margot at the Wedding,3929753
Mona Lisa Smile,3967005
Monumental: In Search of America's National Treasure,3969700
Mr. & Mrs. Bridge,3976368
My Teacher's Wife,3989541
Mystery Street,3990690
No Look Pass,4015963
Personal Velocity: Three Portraits,4082979
Pigskin Parade,4089047
Prozac Nation,4117641
Ruthless,4171882
School Ties,4190158
Seeing Other People,4197637
Shakespeare's Sonnets,4209200
Soul Man,4247569
Southside with You,4249133
Swimming Upstream,4285861
Temple Grandin,4302929
The Autumn Heart,4316673
The Da Vinci Code,4338483
The Departed,4341385
The Devil's Hour,4342287
The Firm,4352594
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,4354086
The Great Debaters,4361343
The Nanny Diaries,4395770
The Nuer,4398483
The Paper Chase,4402221
"The Price of Pleasure: Pornography, Sexuality & Relationships",4407933
The Skulls,4423730
The Social Network,4424677
The Supreme Sacrifice,4430020
The Unbelievable Truth,4437525
The Wrong Guy,4447496
The Young Rajah,4448213
Theodore Roosevelt: A Cowboy's Ride to the White House,4449223
To Race the Wind,4465206
Two of a Kind,4491810
Waking the Dead,4538173
Rejection & Rocketships,217393
Eleanor and Franklin,808611
Harvard Court,1108695
The Adventures of Young Hillary,2522842
The Paper Chase,2732679
A Beautiful Mind,3219788
A Small Circle of Friends,3239485
Altered States,3272986
Beat the House,3333850
Between Two Friends,3344985
Blue Blood and Red,3364787
Both Ways,3373212
Brown of Harvard,3383486
Brown of Harvard,3383487
Compared to What: The Improbable Journey of Barney Frank,3441773
Corso: The Last Beat,3449005
Donnie Darko,3526382
Freshman Father,3623743
God's Country,3652439
HairBrained,3671770
Harvard Man,3680184
Hold 'Em Yale,3703051
Ice Princess,3731065
If You Could See What I Hear,3733482
Inside 'Legally Blonde',3752534
John Harvard,3780668
Just Cause,3788394
Legally Blonde,3870185
Love Story,3905748
MysteryDisc: Many Roads to Murder,3990722
PERKINS 28: Testimony from the Secret Court Files of 1920,4082178
Path to War,4074486
"Selig-Tribune, No. 21",4199819
Son of Paleface,4244477
Spartan,4250957
Spring Madness,4255949
Stealing Harvard,4262488
"Stranger Than Fiction, #69",4268636
Ted,4300120
The Gumshoe Kid,4363230
The Ivy League Farmer,4372089
The Lady Eve,4375687
The Pilot Season Survival Guide,4405305
The Skin I'm In,4423664
With Honors,4566700
