UserID,DBH,Common_Name,Tree_Height,Crown_Width_NS,Crown_Width_EW,Crown_Base_Height,Collected_By,Edible
6855,14,Magnolia,27,27,27,4,STAFF,NA
6856,23.2,Deodar Cedar,66,45,37,4,Staff,NA
6857,25.8,European White Birch,76,47,51,5,Staff,NA
6858,21.4,Norway Maple,45,45,47,8,Staff,NA
6859,22.9,Norway Maple,53,53,48,5,Staff,NA
6860,11.5,Lacebark Pine,31,19,17,6,Staff,NA
6861,30.6,London Plane Tree,72,54,69,9,Staff,NA
6862,24.8,London Plane Tree,69,53,66,12,Staff,NA
6863,25.1,Deodar Cedar,69,47,45,5,Staff,NA
6864,9.3,Ornamental Crabapple,19,30,21,9,Staff,NA
6865,26.5,Deodar Cedar,68,47,48,3,Staff,NA
6866,14.5,Norway Maple,33,34,27,7,Staff,NA
6867,25.8,London Plane Tree,63,67,76,10,Staff,NA
6868,26.8,London Plane Tree,64,73,74,9,STAFF,NA
6869,28.4,London Plane Tree,72,68,68,5,STAFF,NA
6870,22.4,London Plane Tree,77,53,72,5,Staff,NA
6871,27.1,London Plane Tree,59,55,57,7,STAFF,NA
6872,38.2,London Plane Tree,85,84,72,6,STAFF,NA
6873,23.6,Incense Cedar,52,23,26,1,Staff,NA
6874,23.8,Incense Cedar,57,22,22,4,Staff,NA
6875,8.1,Ornamental Crabapple,16,22,23,5,STAFF,NA
6876,24.4,Deodar Cedar,69,48,50,4,STAFF,NA
6877,23.7,Deodar Cedar,72,43,43,5,STAFF,NA
6878,26.2,European White Birch,77,47,45,9,Staff,NA
6879,20.8,Flowering Plum,44,36,44,5,Staff,NA
6880,32.3,London Plane Tree,53,76,78,14,STAFF,NA
6881,20.9,London Plane Tree,65,58,65,10,Staff,NA
6882,22.2,Ponderosa Pine,53,38,36,4,Staff,NA
6883,16.4,Flowering Plum,41,40,37,3,STAFF,NA
6884,19.5,London Plane Tree,64,49,57,10,STAFF,NA
6885,26.3,London Plane Tree,85,54,68,15,Staff,NA
6886,27.5,London Plane Tree,69,61,63,6,Staff,NA
6887,30.3,Pin Oak,152,63,56,26,Staff,NA
6899,25.5,Incense Cedar,54,25,24,1,Staff,NA
6900,23.5,European White Birch,63,45,53,4,STAFF,NA
6901,19.2,European White Birch,72,25,53,6,Staff,NA
6902,26.1,European White Birch,80,33,49,7,STAFF,NA
6903,25,London Plane Tree,55,51,67,6,STAFF,NA
6904,5.3,Oregon White Oak,20,15,15,5,Staff,Yes - nuts
6905,28,European White Birch,80,47,49,8,Staff,NA
6906,26.5,London Plane Tree,80,57,68,7,STAFF,NA
6907,27.2,London Plane Tree,87,54,64,4,Staff,NA
6908,25.7,London Plane Tree,67,55,66,4,Staff,NA
6910,25.4,London Plane Tree,80,50,71,6,Staff,NA
6911,29.8,London Plane Tree,75,60,77,9,Staff,NA
6912,46.2,Douglas-Fir,130,46,61,7,STAFF,NA
6913,42,Douglas-Fir,152,51,50,13,STAFF,NA
6914,21.1,Flowering Plum,38,19,35,7,Staff,NA
6915,31.6,London Plane Tree,84,51,74,10,Staff,NA
6916,27.3,London Plane Tree,75,46,67,4,Staff,NA
6917,37.3,London Plane Tree,83,60,68,9,Staff,NA
6918,41.4,Douglas-Fir,111,55,46,14,STAFF,NA
6919,41.7,Douglas-Fir,113,45,36,10,Staff,NA
6920,54.9,Douglas-Fir,142,56,63,8,STAFF,NA
6921,33.6,European Beech,89,72,77,3,Staff,NA
6922,30.2,Pin Oak,129,73,67,23,STAFF,NA
6909,33.2,Pin Oak,112,74,61,15,Staff,NA
6888,25.5,London Plane Tree,71,60,71,10,Staff,NA
6889,37.7,London Plane Tree,88,72,76,6,Staff,NA
6890,39.7,London Plane Tree,89,89,70,7,Staff,NA
6891,18.2,Douglas-Fir,94,29,28,5,Staff,NA
6892,5,"Shore Pine, Lodgepole Pine",30,9,11,12,Staff,NA
6893,39.8,Douglas-Fir,137,40,46,17,Staff,NA
6894,46.4,Douglas-Fir,138,43,52,6,Staff,NA
6895,42.3,Douglas-Fir,120,64,66,20,Staff,NA
6896,24.8,Flowering Plum,46,40,43,5,STAFF,NA
6897,23.6,Douglas-Fir,112,32,32,3,Staff,NA
6898,21.6,Douglas-Fir,109,37,30,1,Staff,NA
7304,27.6,Pin Oak,100,49,57,11,STAFF,NA
7305,31.4,Pin Oak,107,69,70,10,STAFF,NA
7306,2.8,Eastern Dogwood,16,10,11,5,Staff,NA
7307,23.5,Western Redcedar,69,24,27,0,Staff,NA
7375,27.1,Japanese Flowering Cherry,41,61,60,4,Staff,NA
7376,19.8,Western Redcedar,63,31,30,0,Staff,NA
7377,20.1,Western Redcedar,34,30,28,0,Staff,NA
7378,23.1,Largeleaf Linden,86,46,61,6,Staff,NA
7336,4.8,Swamp White Oak,21,17,15,5,STAFF,NA
7337,20.8,Pin Oak,76,51,56,9,Staff,NA
7338,50.2,Douglas-Fir,120,70,59,7,Staff,NA
7339,42.9,Douglas-Fir,116,64,56,5,STAFF,NA
7341,9.7,"Shore Pine, Lodgepole Pine",34,14,17,5,Staff,NA
7342,26.7,Western Redcedar,64,31,27,0,STAFF,NA
7343,25.5,Western Redcedar,71,33,30,0,STAFF,NA
7345,31.7,Sycamore Maple,76,55,57,5,Staff,NA
7350,18.8,Japanese Flowering Cherry,33,42,47,3,Staff,NA
9007,29.7,Western Redcedar,88,34,33,6,Volunteer,NA
9008,10.2,"Paperbark Cherry, Birchbark Cherry, Tibetan Cherry",23,20,27,4,volunteer,NA
9009,29.3,Douglas-Fir,138,37,32,53,Volunteer,NA
9010,13.8,Cherry,26,28,28,5,Volunteer,Yes - fruit
9011,29.8,Western Redcedar,87,34,34,7,Volunteer,NA
9012,23.8,European Hornbeam,90,61,58,7,Volunteer,NA
9013,41.2,Silver Linden,118,72,63,10,volunteer,NA
9014,42,Douglas-Fir,126,58,43,18,volunteer,NA
9015,33.2,Silver Linden,132,65,53,16,Volunteer,NA
9016,18.5,Sugar Maple,92,40,33,12,Volunteer,NA
9017,33.8,Silver Linden,100,79,83,18,Volunteer,NA
9018,25.9,Douglas-Fir,146,44,35,68,Volunteer,NA
9019,39.4,Silver Linden,104,74,66,18,volunteer,NA
9020,21,Western Redcedar,82,27,28,7,volunteer,NA
9021,22.9,Douglas-Fir,100,43,40,32,Volunteer,NA
9022,28,Cherry,37,34,41,5,volunteer,Yes - fruit
9023,31.5,Douglas-Fir,128,35,46,5,Volunteer,NA
9024,35.6,Silver Linden,115,62,63,9,Volunteer,NA
9025,41.6,European Hornbeam,81,69,63,6,Volunteer,NA
9026,14.5,Pacific Dogwood,46,27,28,3,Volunteer,NA
9027,27.5,Siberian Elm,76,48,34,9,volunteer,NA
9064,42.6,Douglas-Fir,130,34,38,6,volunteer,NA
9065,31.4,Silver Linden,114,61,64,13,Volunteer,NA
9066,33.8,European Hornbeam,64,60,49,3,Volunteer,NA
9067,11,Western Redcedar,35,24,22,0,Volunteer,NA
9068,51.4,Silver Linden,120,72,88,12,volunteer,NA
9069,37.6,European Hornbeam,75,93,70,6,volunteer,NA
9070,29,Douglas-Fir,137,31,48,53,volunteer,NA
9071,37,Incense Cedar,87,25,23,4,Volunteer,NA
9072,18,Sugar Maple,109,28,29,8,volunteer,NA
9073,21.2,Sugar Maple,92,33,42,14,Volunteer,NA
9074,23.5,Douglas-Fir,124,38,51,33,Volunteer,NA
9075,27.5,Littleleaf Linden,76,57,57,4,Volunteer,NA
